Month,Date,AWND,PRCP,SNOW,TAVG
11,17,25.93,0.0,0.0,4.4
11,18,25.93,0.0,0.0,-0.6
11,19,16.91,0.0,0.0,-2.2
11,20,7.19,0.0,0.0,2.8
11,21,23.40,0.0,0.0,0.6
11,22,8.64,0.0,0.0,-5.6
11,23,19.09,0.0,0.0,1.1
11,24,21.24,0.0,0.0,7.8
11,25,18.36,0.0,0.0,-5.0
11,26,15.13,0.0,0.0,-5.0
11,27,14.03,0.0,0.0,0.6
11,28,13.68,0.0,0.0,0.0
11,29,14.76,0.0,0.0,3.3
11,30,9.72,0.8,0.0,3.3
12,1,14.03,3.3,0.0,4.4
12,2,15.48,0.8,0.0,7.2
12,3,12.96,0.5,0.0,3.9
12,4,11.88,2.8,25.4,0.0
12,5,27.36,0.3,2.5,-0.6
12,6,28.08,0.0,0.0,-7.8
12,7,9.72,2.5,35.6,-12.8
12,8,9.00,0.0,0.0,-11.7
12,9,18.36,0.0,0.0,-2.2
12,10,13.68,17.3,279.4,-1.7
12,11,17.64,1.0,20.3,-2.8
12,12,11.88,0.0,0.0,-2.2
12,13,6.49,0.0,0.0,0.0
12,14,19.79,0.0,0.0,1.7
12,15,18.36,6.9,0.0,6.1
12,16,30.96,0.0,5.1,0.6
12,17,12.96,0.0,0.0,-8.9
12,18,11.52,2.8,38.1,-7.8
12,19,16.91,0.0,0.0,-9.4
12,20,16.56,0.0,0.0,-3.9
12,21,18.36,1.3,15.2,-9.4
12,22,11.15,0.0,0.0,-10.6
12,23,9.72,0.0,0.0,-2.8
12,24,16.56,0.0,0.0,2.2
12,25,12.96,0.0,0.0,-3.9
12,26,16.56,5.3,55.9,-6.7
12,27,25.20,1.3,0.0,-3.3
12,28,13.68,3.3,55.9,-10.6
12,29,8.27,0.0,0.0,-15.6
12,30,11.15,0.3,0.0,-11.1
12,31,14.76,0.0,10.2,-7.2
